tsr,t1,t2
1,12,19
1.25,12,19
1.5,12,19
1.75,12,19
2,12,19
2.1,11.5,19
2.2,11.5,19
2.25,11.5,19
2.3,11.5,19
2.4,11.5,19
2.5,11.5,19
2.6,11.5,19
2.7,11.5,19
2.8,11.5,19
2.9,11.5,19
3,11.5,19
3.1,11.5,19
3.2,11.5,19
3.3,11.5,19
3.4,11.5,19
3.5,11.5,19
3.6,11.5,19
3.7,11.5,19
3.8,11.25,19
3.9,11.25,19
4,11.25,19
4.1,11.25,19
4.2,11.25,19
4.25,11.25,19
4.3,11.25,19
4.4,11.25,19
4.5,11.25,19
4.6,11.25,19
4.7,11.25,19
4.75,11.25,19
4.8,11.25,19
4.9,11.25,19
5,11.25,19
5.25,11.25,19
5.5,11.25,19
5.75,11.25,19
6,11.25,19
6.5,11.25,19
7,11.25,19
7.5,11.25,19
8,11.25,19
